AGLOMERADO_NOM,NIVEL_ED,media_ipcf,mediana_ipcf,q1_ipcf,q3_ipcf
Gran San Juan,1,3769.942073170732,3200.0,1800.0,4881.25
Gran San Juan,2,4124.238167938931,3510.0,2180.0,5475.0
Gran San Juan,3,3631.807142857143,2890.0,1750.0,5000.0
Gran San Juan,4,4721.119469026548,3800.0,2240.0,6160.0
Gran San Juan,5,4763.733746130031,4000.0,2500.0,5980.0
Gran San Juan,6,7823.080097087379,6200.0,3875.0,10225.0
Gran San Juan,7,3382.8846153846152,3387.5,2150.0,4450.0
Partidos del GBA,1,3252.8246589186456,2400.0,0.0,5000.0
Partidos del GBA,2,3353.6528971444413,2360.0,0.0,5200.0
Partidos del GBA,3,2957.2899078637242,1800.0,0.0,4480.0
Partidos del GBA,4,3814.9611503531787,1987.5,0.0,5800.0
Partidos del GBA,5,4635.644151565074,2250.0,0.0,6750.0
Partidos del GBA,6,6528.850872817955,3050.0,0.0,10000.0
Partidos del GBA,7,2848.80625,2270.0,0.0,5000.0
